"event_title","event_description","event_room","event_start_day","event_start_time","event_end_day","event_end_time","event_type","event_age_limit"
"Doors Close (Saturday)","TouhouFest closes for the night. We'll see you again Sunday at 9:00 AM!","All","6/15/25","0:30","6/15/26","0:30","Convention",""
"Doors Open (Sunday)","TouhouFest's Sunday start time is 9:00AM.","All","6/15/25","9:00","6/15/26","9:00","Convention",""
"Doors Close (Sunday)","TouhouFest closes shop on Sunday at 6:00 PM. See you all next year!","All","6/15/25","18:00","6/15/26","18:00","Convention",""
"TOUHOU WRESTLING!","Paradarx and his announcers are back with Touhou Wrestling! This time, there will be more epic matches with characters created with the latest WWE 2K24 game! Who will come out on top as the champion this year? Forget everything about Spell Card rules, Brother! Your in it for the EXTREME! OOH YEEEAH!","Assembly Hall","6/15/25","12:00","6/15/26","13:30","Panels",""
"Miko-san Performance","","Assembly Hall","6/15/25","16:00","6/15/26","17:30","Guest.Performance",""
"Artist Alley Open (Sunday)","Come visit Artist Alley and purchase a variety of prints, charms, and other fanworks from local artists! Artist Alley opens Sunday at 10:00 AM.","Ken Miller","6/15/25","10:00","6/15/25","10:00","Convention",""
"Artist Alley Close (Sunday)","Artist Alley closes on Sunday at 5:30 PM. We'll see you again next year!","Ken Miller","6/15/25","17:30","6/15/25","17:30","Convention",""
"Cosplay Meetup: PC-98 (TH01 ~ TH05)","Cosplay Meetup & Photoshoot for any characters from the Touhou PC-98 games.

**Main Protagonists**
- Reimu
- Marisa

**Touhou 1 ""Highly Responsive to Prayers""**
- Singyoku
- Yuugenmagan
- Elis
- Sariel
- Mima
- Kikuri

**Touhou 2 ""Story of Eastern Wonderland""**
- Genji
- Rika
- Meira
- Mima

**Touhou 3 ""Phantasmagoria of Dimensional Dream""**
- Mima
- Ellen
- Kana
- Kotohime
- Rikako
- Yumemi
- Ruukoto
- Mimi-chan

**Touhou 4 ""Lotus Land Story""**
- Orange
- Kurumi
- Elly
- Yuuka
- Mugetsu
- Gengetsu

**Touhou 5 ""Mystic Square""**
- Mima
- Yuuka
- Wheel Demon
- Sara
- Louise
- Hikariko
- Alice
- Yuki
- Mai
- Ayano
- Yumeko
- Shinki","Pine Wind Garden","6/15/25","10:30","6/15/25","11:00","Cosplay.Photoshoot",""
"Cosplay Meetup: Fighting Games (TH7.5, TH10.5, TH12.3, TH13.5, TH14.5, TH15.5)","Cosplay Meetup & Photoshoot for cosplayers from any of the fighting games and characters.

**Main Protagonists**
- Reimu
- Marisa

**Touhou 7.5 ""Immaterial and Missing Power""**
- Sakuya
- Alice
- Patchouli
- Youmu
- Remilia
- Yuyuko
- Yukari
- Suika
- Meiling

**Touhou 10.5 ""Scarlet Weather Rhapsody""**
- Sakuya
- Alice
- Patchouli
- Youmu
- Remilia
- Yuyuko
- Yukari
- Reisen
- Suika
- Aya
- Komachi
- Iku
- Tenshi

**Touhou 12.3 ""Hisoutensoku""**
- Sanae
- Cirno
- Meiling
- Alice
- Patchouli
- Okuu
- Suwako
- Hisoutensoku
- Goliath Doll

**Touhou 13.5 ""Hopeless Masquerade""**
- Ichirn & Unzan
- Byakuren
- Futo
- Miko
- Nitori
- Koishi
- Mamizou
- Kokoro

**Touhou 14.5 ""Urban Legend in Limbo""**
- Ichiran & Unzan
- Byakuren
- Futo
- Miko
- Nitori
- Koishi
- Mamizou
- Kokoro
- Mokou
- Kasen
- Sukun
- Sumireko
- Reisen

**Touhou 15.5 ""Antimony of Common Flowers""**
- Ichiran & Unzan
- Byakuren
- Futo
- Miko
- Nitori
- Koishi
- Mamizou
- Kokoro
- Mokou
- Kasen
- Sukuna
- Sumireko
- Reisen
- Doremy
- Tenshi
- Yukari
- Jo'on
- Shion","Pine Wind Garden","6/15/25","11:00","6/15/25","12:00","Cosplay.Photoshoot",""
"Cosplay Meetup: The Devil's Mansion (TH06, Touhouvania 1 & 2)","Cosplay Meetup & Photoshoot for cosplayers from the below games and characters: 

**Touhou 6 ""Embodiment of Scarlet Devil""**
- Reimu
- Marisa
- Rumia
- Daiyousei
- Cirno
- Meiling
- Koakuma
- Patchouli
- Sakuya
- Remilia
- Flandre
- Rin Satsuki

**Touhouvania / Koumanjou Densetsu 1 & 2**
- All costumes and designs featured","Pine Wind Garden","6/15/25","12:00","6/15/25","13:00","Cosplay.Photoshoot",""
"Fangames Photoshoot","","Pine Wind Garden","6/15/25","13:00","6/15/25","14:00","Cosplay.Photoshoot",""
"A World Connecting Unreality","What happens when Touhou inspires bright minds to make derivative and original stories following Touhou's format? Look no further to A World Connecting Unreality! Here, the panelists will introduce one of these examples, Len'en Project and go over Touhou inspirations in its works.","Children's Art Wing","6/15/25","10:00","6/15/25","11:00","Panels",""
"Western Touhou Fandom: Past, Present, and Future","","Children's Art Wing","6/15/25","11:30","6/15/25","13:00","Panels",""
"The Wondrous World of Sukusuku Hakutaku","A panel discussing the Sukusuku plushies, their history, and many of the various derivative works that expand on their lore","Children's Art Wing","6/15/25","13:30","6/15/25","14:30","Panels",""
"Touhou Five on Overdrive!","No one knows anything about the Touhou 5, so let's five that! Mystic Square is arguably one of the GREATEST Touhou games ever made; you deserve to learn about how to play and appreciate what it did for the franchise.","Children's Art Wing","6/15/25","15:00","6/15/25","16:00","Panels",""
"Bakkun DJ Set","","Torino Plaza","6/14/25","12:00","6/14/25","13:00","DJ",""
"AfterGlow DJ Set","","Torino Plaza","6/14/25","13:30","6/14/25","14:30","DJ",""
